index,suspicious,fleshReadingEase,numOfPunctN,typeToken
1,suspicious-document00009.txt,30.24,0.13584905660377358,0.5502183406113537
2,suspicious-document00009.txt,50.5,0.07936507936507936,0.8103448275862069
3,suspicious-document00009.txt,38.62,0.10869565217391304,0.7419354838709677
4,suspicious-document00009.txt,38.02,0.12365591397849462,0.6424242424242425
5,suspicious-document00009.txt,41.37,0.09523809523809523,0.7692307692307693
6,suspicious-document00009.txt,43.09,0.15488215488215487,0.592156862745098
7,suspicious-document00009.txt,68.44,0.17647058823529413,0.9285714285714286
8,suspicious-document00009.txt,30.57,0.14084507042253522,0.639344262295082
9,suspicious-document00009.txt,19.38,0.19047619047619047,0.7941176470588235
10,suspicious-document00009.txt,95.51,0.05263157894736842,1.0
11,suspicious-document00009.txt,55.31,0.0898876404494382,0.656441717791411
