index,suspicious,fleshReadingEase,numOfPunctN,typeToken
1,suspicious-document00003.txt,46.85,0.1005586592178771,0.5575757575757576
2,suspicious-document00003.txt,53.89,0.21774193548387097,0.6796116504854369
3,suspicious-document00003.txt,54.36,0.14285714285714285,0.51171875
4,suspicious-document00003.txt,59.98,0.06666666666666667,0.7678571428571429
5,suspicious-document00003.txt,60.32,0.05263157894736842,0.8055555555555556
6,suspicious-document00003.txt,76.45,0.17391304347826086,0.553072625698324
7,suspicious-document00003.txt,51.52,0.125,0.5874125874125874
8,suspicious-document00003.txt,38.99,0.0,1.0
9,suspicious-document00003.txt,53.65,0.12121212121212122,0.6111111111111112
10,suspicious-document00003.txt,68.44,0.0967741935483871,0.6964285714285714
11,suspicious-document00003.txt,63.53,0.15028901734104047,0.673469387755102
12,suspicious-document00003.txt,68.2,0.105,0.6815642458100558
13,suspicious-document00003.txt,104.64,0.2727272727272727,1.0
14,suspicious-document00003.txt,63.53,0.1436950146627566,0.6060606060606061
15,suspicious-document00003.txt,52.26,0.08717948717948718,0.574585635359116
16,suspicious-document00003.txt,64.37,0.0,1.0
17,suspicious-document00003.txt,58.35,0.12462908011869436,0.4949664429530201
18,suspicious-document00003.txt,65.76,0.2155688622754491,0.7014925373134329
19,suspicious-document00003.txt,64.54,0.13761467889908258,0.776595744680851
20,suspicious-document00003.txt,50.5,0.0,1.0
21,suspicious-document00003.txt,82.81,0.35294117647058826,1.0
22,suspicious-document00003.txt,44.75,0.15,0.7701149425287356
23,suspicious-document00003.txt,74.49,0.22641509433962265,0.8292682926829268
24,suspicious-document00003.txt,79.6,0.1774193548387097,0.8235294117647058
25,suspicious-document00003.txt,47.15,0.11818181818181818,0.6938775510204082
26,suspicious-document00003.txt,51.31,0.12435233160621761,0.6764705882352942
27,suspicious-document00003.txt,60.89,0.15570934256055363,0.5673469387755102
28,suspicious-document00003.txt,33.58,0.0,1.0
29,suspicious-document00003.txt,54.15,0.11343804537521815,0.487279843444227
30,suspicious-document00003.txt,62.04,0.09271523178807947,0.6474820143884892
31,suspicious-document00003.txt,73.85,0.0,1.0
32,suspicious-document00003.txt,63.87,0.09722222222222222,0.78125
33,suspicious-document00003.txt,36.12,0.10526315789473684,0.5980392156862745
34,suspicious-document00003.txt,63.53,0.12171052631578948,0.5350553505535055
35,suspicious-document00003.txt,55.61,0.11926605504587157,0.5897435897435898
36,suspicious-document00003.txt,62.41,0.11805555555555555,0.6666666666666666
37,suspicious-document00003.txt,68.5,0.12179487179487179,0.6194029850746269
